datetime,tempmax,tempmin,temp,dew,humidity,windspeed,winddir,sealevelpressure,cloudcover,solarenergy,precipitation
2015-01-01,60.7,39.1,50.0,41.7,74.7,5.8,166.0,1020.4,79.1,8.3,0.8
2015-01-02,71.0,49.9,54.9,48.4,80.1,9.2,26.0,1022.2,93.3,3.3,0.0
2015-01-03,67.7,48.1,54.8,50.5,86.3,15.7,304.8,1021.0,90.3,5.0,0.5
2015-01-04,69.9,48.1,54.5,49.6,85.5,9.2,252.4,1018.1,67.1,10.3,0.5
2015-01-05,64.3,42.7,51.3,45.7,83.2,10.3,213.3,1013.9,41.6,12.0,0.0
2015-01-06,62.5,46.3,52.2,45.0,78.0,10.3,243.1,1016.4,62.5,8.5,0.0
2015-01-07,60.7,43.4,50.3,43.1,77.8,10.3,233.9,1017.1,65.7,8.9,0.0
2015-01-08,71.7,39.1,49.3,41.5,76.4,6.9,203.0,1018.9,50.1,9.7,0.0
2015-01-09,64.3,39.1,48.4,38.7,72.8,9.2,58.0,1020.3,24.0,14.8,0.0
2015-01-10,67.9,35.5,47.9,35.7,68.2,8.1,280.9,1018.8,22.9,16.2,0.0
2015-01-11,66.1,37.3,49.3,36.3,64.8,6.9,180.1,1019.3,52.2,15.9,0.0
2015-01-12,66.1,37.3,49.1,38.4,71.1,8.1,216.1,1020.7,31.3,16.2,0.0
2015-01-13,66.1,37.3,49.7,39.6,72.0,9.2,263.4,1020.3,27.0,16.5,0.0
2015-01-14,66.1,37.3,49.4,38.3,70.5,8.1,155.0,1021.1,25.0,16.0,0.0
2015-01-15,75.8,37.3,50.0,39.2,70.3,9.2,240.6,1021.1,23.0,14.4,0.0
2015-01-16,62.5,37.3,49.3,40.0,73.3,6.9,172.3,1021.1,27.1,13.1,0.0
2015-01-17,62.5,40.9,50.0,41.2,74.8,9.2,236.9,1020.0,29.2,14.7,0.0
2015-01-18,62.5,37.3,49.3,38.8,70.9,9.2,264.0,1019.8,25.2,16.7,0.0
2015-01-19,66.1,37.3,49.4,37.5,69.2,8.1,203.8,1019.9,25.1,16.7,0.0
2015-01-20,66.1,37.3,49.2,36.8,66.8,8.1,201.1,1022.5,33.3,15.7,0.0
2015-01-21,74.9,37.3,50.8,38.5,66.9,6.9,173.6,1024.5,25.1,16.6,0.0
2015-01-22,66.1,39.1,51.6,39.8,67.3,8.1,225.1,1022.8,69.7,16.1,0.0
2015-01-23,64.3,46.3,54.0,43.3,69.2,8.1,228.5,1020.0,71.8,15.9,0.0
2015-01-24,64.3,37.3,51.0,40.5,71.4,10.3,289.5,1020.1,44.7,16.8,0.0
2015-01-25,66.1,37.3,51.2,39.4,67.9,9.2,272.9,1021.2,61.3,16.3,0.0
2015-01-26,60.7,46.3,52.0,44.4,76.4,8.1,337.7,1021.9,88.9,8.3,0.0
2015-01-27,66.3,44.5,52.4,42.1,71.7,10.3,283.7,1020.2,55.0,10.5,0.0
2015-01-28,67.9,35.5,50.0,37.3,67.4,9.2,282.7,1017.7,25.4,17.8,0.0
2015-01-29,64.3,39.1,49.4,36.7,67.0,9.2,209.0,1018.8,51.8,15.4,0.0
2015-01-30,58.9,37.3,46.7,38.2,73.7,11.4,220.9,1018.0,31.1,14.1,0.0
2015-01-31,62.5,35.5,46.9,36.4,70.9,16.1,199.3,1018.6,28.0,15.2,0.0
2015-02-01,60.7,37.3,47.7,38.8,73.9,10.3,212.3,1020.7,29.2,13.9,0.0
2015-02-02,66.1,37.3,50.0,39.0,69.4,9.2,184.0,1023.5,27.1,17.0,0.0
2015-02-03,69.7,39.1,53.2,40.4,67.2,17.2,286.9,1025.8,38.1,17.0,0.0
2015-02-04,75.5,42.7,54.9,41.4,65.4,11.4,255.0,1021.9,30.6,18.6,1.0
2015-02-05,67.9,39.1,51.7,43.0,74.7,11.4,205.2,1020.3,27.4,17.2,0.0
2015-02-06,69.5,42.3,52.6,45.4,78.7,9.2,251.8,1019.5,52.0,13.5,0.0
2015-02-07,66.1,40.9,52.6,42.1,71.9,10.3,283.5,1019.3,41.5,17.7,0.0
2015-02-08,64.3,40.9,52.2,41.6,70.0,11.4,302.6,1020.3,65.9,13.6,0.0
2015-02-09,67.9,42.7,54.1,42.1,67.1,9.2,248.0,1021.1,30.2,17.6,0.0
2015-02-10,67.9,40.9,54.1,42.3,68.1,11.4,275.0,1020.8,24.8,19.0,0.0
2015-02-11,66.1,40.9,53.1,42.6,70.5,9.2,195.7,1019.4,48.3,17.1,0.0
2015-02-12,66.1,42.7,53.5,43.0,71.6,11.4,208.3,1017.3,57.0,14.0,0.0
2015-02-13,64.3,46.3,53.7,45.3,75.7,15.0,205.5,1015.1,55.4,13.0,0.0
2015-02-14,62.5,42.7,52.6,44.6,75.6,12.8,200.0,1015.0,51.7,11.5,0.0
2015-02-15,62.5,48.1,54.0,45.4,74.2,8.1,180.5,1017.0,76.9,9.3,0.0
2015-02-16,66.1,48.1,55.0,45.2,71.2,9.2,169.2,1020.2,53.3,16.0,0.0
2015-02-17,67.9,46.3,55.9,45.6,71.2,11.4,209.8,1018.1,42.8,13.5,0.0
2015-02-18,67.9,46.3,55.5,45.6,71.6,15.0,132.8,1017.1,61.1,12.0,0.0
