datetime,tempmax,tempmin,temp,dew,humidity,windspeed,winddir,sealevelpressure,cloudcover,solarenergy,precipitation,month,season,month_sin,month_cos,season_number,season_sin,season_cos,winddir_sin,winddir_cos,orographic_precipitation_potential,valley_temperature_inversion_index,urban_heat_island_effect_refined
2015-01-01,60.7,39.1,50.0,41.7,74.7,5.8,166.0,1020.4,79.1,8.3,0.8,1,Winter,0.49999999999999994,0.8660254037844387,5,-2.4492935982947064e-16,1.0,0.24192189559966773,-0.9702957262759965,104.81508048751203,0.016599999999999993,8.529399999999997
2015-01-02,71.0,49.9,54.9,48.4,80.1,9.2,26.0,1022.2,93.3,3.3,0.0,1,Winter,0.49999999999999994,0.8660254037844387,5,-2.4492935982947064e-16,1.0,0.4383711467890774,0.898794046299167,323.0444654918068,0.013,6.5892
2015-01-03,67.7,48.1,54.8,50.5,86.3,15.7,304.8,1021.0,90.3,5.0,0.5,1,Winter,0.49999999999999994,0.8660254037844387,5,-2.4492935982947064e-16,1.0,-0.8211492091337039,0.5707135676844318,-1112.5832749473468,0.008599999999999995,4.4179999999999975
2015-01-04,69.9,48.1,54.5,49.6,85.5,9.2,252.4,1018.1,67.1,10.3,0.5,1,Winter,0.49999999999999994,0.8660254037844387,5,-2.4492935982947064e-16,1.0,-0.953190667792947,-0.30236989075044424,-749.7797792859321,0.009799999999999998,5.247099999999999
2015-01-05,64.3,42.7,51.3,45.7,83.2,10.3,213.3,1013.9,41.6,12.0,0.0,1,Winter,0.49999999999999994,0.8660254037844387,5,-2.4492935982947064e-16,1.0,-0.5490228179981318,-0.8358073613682702,-470.49059411167906,0.01119999999999999,6.1978999999999935
2015-01-06,62.5,46.3,52.2,45.0,78.0,10.3,243.1,1016.4,62.5,8.5,0.0,1,Winter,0.49999999999999994,0.8660254037844387,5,-2.4492935982947064e-16,1.0,-0.891797529605214,-0.452434709311783,-716.4701352848289,0.014400000000000007,7.591400000000004
2015-01-07,60.7,43.4,50.3,43.1,77.8,10.3,233.9,1017.1,65.7,8.9,0.0,1,Winter,0.49999999999999994,0.8660254037844387,5,-2.4492935982947064e-16,1.0,-0.8079898838980305,-0.5891963573533421,-647.4746135628477,0.014399999999999991,7.560099999999995
2015-01-08,71.7,39.1,49.3,41.5,76.4,6.9,203.0,1018.9,50.1,9.7,0.0,1,Winter,0.49999999999999994,0.8660254037844387,5,-2.4492935982947064e-16,1.0,-0.39073112848927355,-0.9205048534524404,-205.97782169440546,0.015599999999999994,8.317899999999998
2015-01-09,64.3,39.1,48.4,38.7,72.8,9.2,58.0,1020.3,24.0,14.8,0.0,1,Winter,0.49999999999999994,0.8660254037844387,5,-2.4492935982947064e-16,1.0,0.848048096156426,0.5299192642332049,567.9886928817278,0.01939999999999999,10.480299999999996
2015-01-10,67.9,35.5,47.9,35.7,68.2,8.1,280.9,1018.8,22.9,16.2,0.0,1,Winter,0.49999999999999994,0.8660254037844387,5,-2.4492935982947064e-16,1.0,-0.9819587126964437,0.18909544298989084,-542.4536320677695,0.02439999999999999,12.989799999999997
2015-01-11,66.1,37.3,49.3,36.3,64.8,6.9,180.1,1019.3,52.2,15.9,0.0,1,Winter,0.49999999999999994,0.8660254037844387,5,-2.4492935982947064e-16,1.0,-0.0017453283658980777,-0.9999984769132877,-0.7803712189603486,0.026,13.4973
2015-01-12,66.1,37.3,49.1,38.4,71.1,8.1,216.1,1020.7,31.3,16.2,0.0,1,Winter,0.49999999999999994,0.8660254037844387,5,-2.4492935982947064e-16,1.0,-0.5891963573533419,-0.8079898838980306,-339.3240741633631,0.021400000000000006,11.407700000000002
2015-01-13,66.1,37.3,49.7,39.6,72.0,9.2,263.4,1020.3,27.0,16.5,0.0,1,Winter,0.49999999999999994,0.8660254037844387,5,-2.4492935982947064e-16,1.0,-0.9933727656003964,-0.11493715049286674,-658.0101199337025,0.020200000000000003,10.850300000000002
