datetime,tempmax,tempmin,temp,dew,humidity,windspeed,winddir,sealevelpressure,cloudcover,solarenergy,precipitation,month_sin,month_cos,season_sin,season_cos,winddir_sin,winddir_cos,orographic_precipitation_potential,valley_temperature_inversion_index,urban_heat_island_effect_refined,season
2015-04-01,75.1,51.7,63.7,52.1,69.1,8.1,255.0,1014.5,40.1,21.7,0.0,0.87,-0.5,0.95,0.31,-0.97,-0.26,-540.64,0.02,12.21,Spring
2015-04-02,75.1,55.3,65.5,52.6,65.2,12.8,268.6,1011.5,49.2,20.1,0.0,0.87,-0.5,0.95,0.31,-1.0,-0.02,-834.31,0.03,13.42,Spring
2015-04-03,76.9,55.3,64.4,53.0,69.7,11.4,286.5,1010.6,41.3,20.7,0.0,0.87,-0.5,0.95,0.31,-0.96,0.28,-761.86,0.02,12.0,Spring
2015-04-04,78.7,51.7,61.0,51.1,74.2,17.2,306.6,1011.3,50.5,20.6,3.0,0.87,-0.5,0.95,0.31,-0.8,0.6,-1024.59,0.02,10.41,Spring
2015-04-05,75.1,49.9,61.7,48.8,66.9,15.0,213.0,1013.0,43.8,23.5,3.3,0.87,-0.5,0.95,0.31,-0.54,-0.84,-546.55,0.03,13.48,Spring
2015-04-06,84.8,49.9,63.9,50.2,63.9,15.0,199.0,1013.5,28.1,24.7,0.0,0.87,-0.5,0.95,0.31,-0.33,-0.95,-312.06,0.03,14.43,Spring
2015-04-07,73.3,53.5,63.9,50.7,64.6,10.3,217.8,1016.6,53.5,22.0,0.0,0.87,-0.5,0.95,0.31,-0.61,-0.79,-407.82,0.03,13.68,Spring
2015-04-08,91.7,51.7,65.9,47.3,55.7,12.8,258.6,1015.8,22.8,25.5,0.0,0.87,-0.5,0.95,0.31,-0.98,-0.2,-698.89,0.04,19.39,Spring
2015-04-09,90.8,51.0,65.3,47.9,56.4,10.3,226.7,1014.0,25.3,25.0,0.0,0.87,-0.5,0.95,0.31,-0.73,-0.69,-422.78,0.03,18.16,Spring
2015-04-10,78.7,53.5,65.9,48.6,56.7,13.9,200.1,1015.5,25.0,25.0,0.0,0.87,-0.5,0.95,0.31,-0.34,-0.94,-270.85,0.03,18.07,Spring
2015-04-11,93.8,53.5,68.1,49.0,54.7,15.0,202.5,1016.8,25.6,23.3,0.0,0.87,-0.5,0.95,0.31,-0.38,-0.92,-313.99,0.04,19.86,Spring
2015-04-12,76.9,53.5,64.1,51.1,65.4,10.3,186.9,1020.7,70.5,17.4,0.3,0.87,-0.5,0.95,0.31,-0.12,-0.99,-80.93,0.03,13.32,Spring
