date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2015-01-01 00:00:00,10.8,3.5,16,0.8,,,,,,
2015-01-02 00:00:00,11.4,5.2,19,0,,,,,,
2015-01-03 00:00:00,12.7,8.5,17.5,0.5,,,4.3,,,
2015-01-04 00:00:00,11.5,,20.5,0.5,,,2.5,,,
2015-01-05 00:00:00,10.7,5.8,20.5,0,,,3.8,,,
2015-01-06 00:00:00,11,7,19,0,,,3.3,,,
2015-01-07 00:00:00,10,7,19,0,,,5.3,,,
2015-01-08 00:00:00,8.8,4,18,0,,,2,,,
2015-01-09 00:00:00,8.4,,20.1,0,,,4.3,,,
2015-01-10 00:00:00,8.7,1.5,21.1,0,,,1.8,,,
2015-01-11 00:00:00,9.2,2.4,20.6,0,,,1.8,,,
2015-01-12 00:00:00,9.1,2.4,20.5,0,,,1.8,,,
2015-01-13 00:00:00,9.6,3,21.5,0,,,2.7,,,
2015-01-14 00:00:00,9.7,3,20.5,0,,,3.2,,,
2015-01-15 00:00:00,9.2,3,20.5,0,,,3.4,,,
2015-01-16 00:00:00,9.9,3,22.5,0,,,3.5,,,
2015-01-17 00:00:00,9.8,5,19.7,0,,,4.5,,,
2015-01-18 00:00:00,9.7,3,19.7,0,,,3.8,,,
2015-01-19 00:00:00,9.8,,,,,,3.3,,,
2015-01-20 00:00:00,9.7,2.6,21.5,0,,,3.3,,,
2015-01-21 00:00:00,10.1,3,22.5,0,,,2.2,,,
2015-01-22 00:00:00,12,3.8,21.5,0,,,3.7,,,
2015-01-23 00:00:00,11.3,,21,0,,,4.7,,,
2015-01-24 00:00:00,10.7,3,19.8,,,,4.2,,,
2015-01-25 00:00:00,11.3,3,21.6,0,,,3.2,,,
2015-01-26 00:00:00,11.1,2.5,18,0,,,2.9,,,
2015-01-27 00:00:00,10.4,6.4,20,0,,,5,,,
2015-01-28 00:00:00,9.4,,21.6,0,,,,,,
2015-01-29 00:00:00,9.3,,21,0,,,3.5,,,
2015-01-30 00:00:00,8.3,,19.2,0,,,6,,,
2015-01-31 00:00:00,8.7,1.4,19,0,,,6.6,,,
2015-02-01 00:00:00,8.7,3,19.6,0,,,4.8,,,
2015-02-02 00:00:00,9.8,2.8,21,0,,,3.3,,,
2015-02-03 00:00:00,12.4,4,24.2,0,,,8.3,,,
2015-02-04 00:00:00,10.7,,21.5,1,,,,,,
2015-02-05 00:00:00,11.2,4,22.5,0,,,3,,,
2015-02-06 00:00:00,11.6,,21.3,0,,,,,,
2015-02-07 00:00:00,11.3,,21.4,0,,,4.6,,,
2015-02-08 00:00:00,11.6,5,20.6,0,,,4.9,,,
2015-02-09 00:00:00,12.1,5,22.5,0,,,5.2,,,
2015-02-10 00:00:00,12.1,5,23,0,,,5.7,,,
2015-02-11 00:00:00,11.7,5,22,0,,,4.7,,,
2015-02-12 00:00:00,12.4,5.5,22,0,,,4.8,,,
2015-02-13 00:00:00,11.9,7.4,21.6,0,,,5.5,,,
2015-02-14 00:00:00,11.8,6,21,0,,,5.5,,,
2015-02-15 00:00:00,12.3,8.5,20,0,,,3.2,,,
2015-02-16 00:00:00,12.7,7.5,21.7,0,,,3.8,,,
2015-02-17 00:00:00,13.4,7.5,23.2,0,,,4.8,,,
2015-02-18 00:00:00,12.8,,23,0,,,6.2,,,
2015-02-19 00:00:00,12.4,6.5,22,10.9,,,4.2,,,
2015-02-20 00:00:00,13.3,7,23,0,,,3.6,,,
2015-02-21 00:00:00,13.9,,24,0,,,4.4,,,
2015-02-22 00:00:00,15.4,8,25.2,0,,,3.6,,,
2015-02-23 00:00:00,17.4,,,,,,5.5,,,
2015-02-24 00:00:00,16.6,13,23.8,0,,,3.9,,,
2015-02-25 00:00:00,15.9,,22.6,0,,,2.2,,,
2015-02-26 00:00:00,12.1,,,,,,6.2,,,
2015-02-27 00:00:00,14.2,,24,1.8,,,4.6,,,
2015-02-28 00:00:00,14.5,7,24.5,0,,,4.2,,,
2015-03-01 00:00:00,12.1,,16.6,9.7,,,4.6,,,
2015-03-02 00:00:00,10.9,,14,33.5,,,4.3,,,
2015-03-03 00:00:00,12.8,,,,,,4.5,,,
2015-03-04 00:00:00,12.2,6,22.2,0,,,7.1,,,
2015-03-05 00:00:00,12.3,6,22.5,0,,,4.8,,,
2015-03-06 00:00:00,13.9,6,23.5,0,,,5.6,,,
2015-03-07 00:00:00,13.3,6.8,24,0,,,,,,
2015-03-08 00:00:00,14.6,8,24.5,0,,,5.1,,,
2015-03-09 00:00:00,15.2,8.4,26.2,0,,,7.6,,,
2015-03-10 00:00:00,15,6,24.8,,,,6.2,,,
2015-03-11 00:00:00,15.8,6.5,28,0,,,5,,,
2015-03-12 00:00:00,16.3,,,,,,5.1,,,
2015-03-13 00:00:00,17.5,9.8,28,0,,,5.5,,,
2015-03-14 00:00:00,17.5,,27,0,,,5.8,,,
2015-03-15 00:00:00,15.6,11,22.4,0,,,3.9,,,
2015-03-16 00:00:00,15.9,11.4,24.5,2.3,,,5.8,,,
2015-03-17 00:00:00,16.1,8.8,25.5,0,,,7,,,
2015-03-18 00:00:00,14.9,9.8,25.3,0,,,6.6,,,
2015-03-19 00:00:00,15,7.5,24.8,0,,,5.4,,,
2015-03-20 00:00:00,16.8,8.4,27,0,,,7.1,,,
2015-03-21 00:00:00,17.3,10.5,27.1,0,,,5.6,,,
2015-03-22 00:00:00,18.6,11,28.2,0,,,7.6,,,
2015-03-23 00:00:00,17.8,12.5,27.5,4.3,,,,,,
2015-03-24 00:00:00,18.1,11.5,27.5,2.8,,,,,,
2015-03-25 00:00:00,19.8,13.5,28.6,1.5,,,6.2,,,
2015-03-26 00:00:00,17.8,14,28,26.9,,,3.7,,,
2015-03-27 00:00:00,16.9,,22.8,1,,,5.2,,,
2015-03-28 00:00:00,19.1,11.8,27.3,1,,,4.7,,,
2015-03-29 00:00:00,19.3,14.5,27.6,0,,,,,,
2015-03-30 00:00:00,14.4,,17.7,11.4,,,,,,
2015-03-31 00:00:00,16.8,10.5,24,0,,,,,,
2015-04-01 00:00:00,17.9,11,26.8,0,,,4.2,,,
2015-04-02 00:00:00,18.7,12.2,26.3,0,,,7.1,,,
2015-04-03 00:00:00,17.4,,27.3,0,,,5.3,,,
2015-04-04 00:00:00,15.3,,27.2,3,,,6.3,,,
2015-04-05 00:00:00,16.4,9,27,3.3,,,7.6,,,
2015-04-06 00:00:00,17.4,,27.5,0,,,6.3,,,
2015-04-07 00:00:00,17.9,,25,0,,,6.1,,,
2015-04-08 00:00:00,18.2,10.2,28.5,0,,,,,,
2015-04-09 00:00:00,17.9,10.5,28.5,0,,,3.8,,,
2015-04-10 00:00:00,18.9,11,29,0,,,7.2,,,
2015-04-11 00:00:00,19.3,12,29.4,0,,,6.9,,,
2015-04-12 00:00:00,17.6,12,26.2,0.3,,,5.7,,,
2015-04-13 00:00:00,14.7,,18,9.9,,,1.9,,,
2015-04-14 00:00:00,18.1,,25,0,,,3.5,,,
2015-04-15 00:00:00,16.4,,25,1,,,,,,
2015-04-16 00:00:00,17.9,12.2,27.8,0,,,3.6,,,
2015-04-17 00:00:00,16.1,13,24.5,0,,,4.8,,,
2015-04-18 00:00:00,17.9,13,25.7,10.2,,,5.3,,,
2015-04-19 00:00:00,20.5,13,28.6,0,,,6.6,,,
2015-04-20 00:00:00,21.3,16.8,29,0,,,4.5,,,
2015-04-21 00:00:00,20.6,16.2,29.5,0,,,6.8,,,
2015-04-22 00:00:00,18.7,,28.6,3.3,,,7,,,
2015-04-23 00:00:00,19.8,11.2,29.4,0,,,5.3,,,
2015-04-24 00:00:00,18.4,13,26.8,0,,,7.4,,,
2015-04-25 00:00:00,,,,,,,,,,
2015-04-26 00:00:00,,,,,,,,,,
2015-04-27 00:00:00,18.6,,25.8,4.3,,,,,,
2015-04-28 00:00:00,16.3,,23.5,3,,,4.9,,,
2015-04-29 00:00:00,17.4,11.6,24.4,0,,,5.2,,,
2015-04-30 00:00:00,17.9,,24.4,8.6,,,4.4,,,
2015-05-01 00:00:00,20.5,13.8,28.8,,,,5.5,,,
2015-05-02 00:00:00,20.2,15.8,29.6,0,,,6.4,,,
2015-05-03 00:00:00,20.6,12.4,29.8,0,,,7.4,,,
2015-05-04 00:00:00,21.2,12.4,31,0,,,4.5,,,
2015-05-05 00:00:00,21.5,13,30.8,0,,,5.8,,,
